UNITID,EFTOTLT,EFTOTLM,EFTOTLW
111638,79,18,61
111638,481,103,378
111638,606,128,478
111638,606,128,478
111638,606,128,478
111638,46,7,39
111638,560,121,439
111638,79,18,61
111638,481,103,378
111708,267,224,43
111708,267,224,43
111708,267,224,43
111708,73,59,14
111708,194,165,29
111708,194,165,29
111708,158,123,35
111708,158,123,35
111708,158,123,35
111708,41,29,12
111708,117,94,23
111708,117,94,23
111708,109,101,8
111708,109,101,8
111708,109,101,8
111708,32,30,2
111708,77,71,6
111708,77,71,6
111717,345,173,172
111717,345,173,172
111717,345,173,172
111717,103,45,58
111717,242,128,114
111717,242,128,114
111717,324,172,152
111717,324,172,152
111717,324,172,152
111717,103,45,58
111717,221,127,94
111717,221,127,94
111717,21,1,20
111717,21,1,20
111717,21,1,20
111717,21,1,20
111717,21,1,20
111726,234,151,83
111726,234,151,83
111726,234,151,83
111726,83,53,30
111726,151,98,53
111726,151,98,53
111726,234,151,83
111726,234,151,83
111726,234,151,83
111726,83,53,30
111726,151,98,53
111726,151,98,53
111744,103,100,3
111744,103,100,3
111744,103,100,3
111744,28,25,3
111744,75,75,0
111744,75,75,0
111744,103,100,3
111744,103,100,3
111744,103,100,3
111744,28,25,3
111744,75,75,0
111744,75,75,0
111762,88,45,43
111762,88,45,43
111762,88,45,43
111762,30,14,16
111762,58,31,27
111762,58,31,27
111762,88,45,43
111762,88,45,43
111762,88,45,43
111762,30,14,16
111762,58,31,27
111762,58,31,27
111771,104,67,37
111771,104,67,37
111771,104,67,37
111771,32,16,16
111771,72,51,21
111771,72,51,21
111771,104,67,37
111771,104,67,37
111771,104,67,37
111771,32,16,16
111771,72,51,21
111771,72,51,21
111799,65,18,47
111799,65,18,47
111799,65,18,47
111799,28,10,18
111799,37,8,29
111799,37,8,29
111799,65,18,47
111799,65,18,47
111799,65,18,47
111799,28,10,18
111799,37,8,29
111799,37,8,29
111887,21404,9717,11687
111887,21404,9717,11687
111887,20011,9127,10884
111887,3497,1768,1729
111887,16514,7359,9155
111887,1393,590,803
111887,1679,796,883
111887,14835,6563,8272
111887,6958,3298,3660
111887,6958,3298,3660
111887,6844,3246,3598
111887,1435,716,719
111887,5409,2530,2879
111887,114,52,62
111887,471,235,236
111887,4938,2295,2643
111887,14446,6419,8027
111887,14446,6419,8027
111887,13167,5881,7286
111887,2062,1052,1010
111887,11105,4829,6276
111887,1279,538,741
111887,1208,561,647
111887,9897,4268,5629
111896,4523,1631,2892
111896,4523,1631,2892
111896,4029,1461,2568
111896,594,272,322
111896,3435,1189,2246
111896,494,170,324
111896,815,262,553
111896,2620,927,1693
111896,944,396,548
111896,944,396,548
111896,933,390,543
111896,225,113,112
111896,708,277,431
111896,11,6,5
111896,97,53,44
111896,611,224,387
111896,3579,1235,2344
111896,3579,1235,2344
111896,3096,1071,2025
111896,369,159,210
111896,2727,912,1815
111896,483,164,319
111896,718,209,509
111896,2009,703,1306
111920,13142,6108,7034
111920,13142,6108,7034
111920,12082,5654,6428
111920,1961,1072,889
111920,10121,4582,5539
111920,1060,454,606
111920,1323,607,716
111920,8798,3975,4823
111920,3939,1920,2019
111920,3939,1920,2019
111920,3889,1897,1992
111920,823,450,373
111920,3066,1447,1619
111920,50,23,27
111920,236,100,136
111920,2830,1347,1483
111920,9203,4188,5015
111920,9203,4188,5015
111920,8193,3757,4436
111920,1138,622,516
111920,7055,3135,3920
111920,1010,431,579
111920,1087,507,580
111920,5968,2628,3340
111939,19211,8135,11076
111939,19211,8135,11076
111939,17217,7233,9984
111939,3656,1686,1970
111939,13561,5547,8014
111939,1994,902,1092
111939,1252,520,732
111939,12309,5027,7282
111939,5664,2483,3181
111939,5664,2483,3181
111939,5534,2428,3106
111939,1247,564,683
111939,4287,1864,2423
111939,130,55,75
111939,316,133,183
111939,3971,1731,2240
111939,13547,5652,7895
111939,13547,5652,7895
111939,11683,4805,6878
111939,2409,1122,1287
111939,9274,3683,5591
111939,1864,847,1017
111939,936,387,549
111939,8338,3296,5042
111948,7892,3269,4623
111948,6005,2473,3532
111948,5940,2442,3498
111948,1289,484,805
111948,4651,1958,2693
111948,65,31,34
111948,1887,796,1091
111948,394,164,230
111948,4257,1794,2463
111948,7071,2906,4165
111948,5753,2331,3422
111948,5733,2321,3412
111948,1284,480,804
111948,4449,1841,2608
111948,20,10,10
111948,1318,575,743
111948,382,158,224
111948,4067,1683,2384
111948,821,363,458
111948,252,142,110
111948,207,121,86
111948,5,4,1
111948,202,117,85
111948,45,21,24
111948,569,221,348
111948,12,6,6
111948,190,111,79
111966,515,167,348
111966,85,42,43
111966,83,41,42
111966,5,0,5
111966,78,41,37
111966,2,1,1
111966,430,125,305
111966,28,17,11
111966,50,24,26
111966,390,118,272
111966,41,20,21
111966,41,20,21
111966,4,0,4
111966,37,20,17
111966,349,98,251
111966,24,17,7
111966,13,3,10
111966,125,49,76
111966,44,22,22
111966,42,21,21
111966,1,0,1
111966,41,21,20
111966,2,1,1
111966,81,27,54
111966,4,0,4
111966,37,21,16
112075,4046,1730,2316
112075,1944,735,1209
112075,1916,723,1193
112075,373,137,236
112075,1543,586,957
112075,28,12,16
112075,2102,995,1107
112075,224,108,116
112075,1319,478,841
112075,3345,1361,1984
112075,1746,672,1074
112075,1742,672,1070
112075,373,137,236
112075,1369,535,834
112075,4,0,4
112075,1599,689,910
112075,220,106,114
112075,1149,429,720
112075,701,369,332
112075,198,63,135
112075,174,51,123
112075,174,51,123
112075,24,12,12
112075,503,306,197
112075,4,2,2
112075,170,49,121
112084,914,429,485
112084,892,422,470
112084,889,420,469
112084,125,53,72
112084,764,367,397
112084,3,2,1
112084,22,7,15
112084,155,61,94
112084,609,306,303
112084,817,385,432
112084,795,378,417
112084,795,378,417
112084,125,53,72
112084,670,325,345
112084,22,7,15
112084,131,50,81
112084,539,275,264
112084,97,44,53
112084,97,44,53
112084,94,42,52
112084,94,42,52
112084,3,2,1
112084,24,11,13
112084,70,31,39
112127,79,32,47
112127,79,32,47
112127,45,16,29
112127,45,16,29
112127,34,16,18
112127,34,16,18
112172,12920,6026,6894
112172,12920,6026,6894
112172,11494,5300,6194
112172,2312,1128,1184
112172,9182,4172,5010
112172,1426,726,700
112172,938,414,524
112172,8244,3758,4486
112172,4931,2328,2603
112172,4931,2328,2603
112172,4764,2233,2531
112172,1217,582,635
112172,3547,1651,1896
112172,167,95,72
112172,343,147,196
112172,3204,1504,1700
112172,7989,3698,4291
112172,7989,3698,4291
112172,6730,3067,3663
112172,1095,546,549
112172,5635,2521,3114
112172,1259,631,628
112172,595,267,328
112172,5040,2254,2786
